Time,Source,URI,"Found on URI","Found on level",Tags,Message
"2022-02-17 10:24:54.791182","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/newsreader,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:24:55.288014","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/translation,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:24:55.501956","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/team,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:24:55.938593","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/newsliste,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:24:56.038713","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/bildergalerie,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:24:56.727620","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/techniktraining,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:24:56.805649","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/guestbook-eintraege,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:24:56.864023","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/guestbook-formular,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:24:56.919480","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/guestbook-bestaetigung,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
"2022-02-17 10:24:57.004808","Contao\CoreBundle\Crawl\Escargot\Subscriber\SearchIndexSubscriber",https://4ae-racing-team.ch/konditionstraining,https://4ae-racing-team.ch/sitemap.xml,3,,"Forwarded to the search indexer. Was indexed successfully."
